"radiation flux density","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00031408,1,0,0,-1,0
0.00031403,1,0.002,0,-0.998,0
0.00031399,1,0.004,0,-0.996,0
0.00031394,1,0.006,0,-0.994,0
0.00031389,1,0.008,0,-0.992,0
0.00031385,1,0.01,0,-0.99,0
0.00031381,1,0.012,0,-0.988,0
0.0003138,1,0.014,0,-0.986,0
0.00031379,1,0.016,0,-0.984,0
0.00031381,1,0.018,0,-0.982,0
0.00031387,1,0.02,0,-0.98,0
0.00031393,1,0.022,0,-0.978,0
0.00031402,1,0.024,0,-0.976,0
0.00031412,1,0.026,0,-0.974,0
0.00031421,1,0.028,0,-0.972,0
0.00031429,1,0.03,0,-0.97,0
0.00031437,1,0.032,0,-0.968,0
0.00031445,1,0.034,0,-0.966,0
0.00031452,1,0.036,0,-0.964,0
0.00031456,1,0.038,0,-0.962,0
0.00031451,1,0.04,0,-0.96,0
0.00031446,1,0.042,0,-0.958,0
0.00031439,1,0.044,0,-0.956,0
0.00031431,1,0.046,0,-0.954,0
0.00031422,1,0.048,0,-0.952,0
0.00031413,1,0.05,0,-0.95,0
0.00031403,1,0.052,0,-0.948,0
0.00031397,1,0.054,0,-0.946,0
0.00031394,1,0.056,0,-0.944,0
0.0003139,1,0.058,0,-0.942,0
0.00031388,1,0.06,0,-0.94,0
0.00031385,1,0.062,0,-0.938,0
0.00031386,1,0.064,0,-0.936,0
0.00031387,1,0.066,0,-0.934,0
0.00031389,1,0.068,0,-0.932,0
0.00031393,1,0.07,0,-0.93,0
0.00031396,1,0.072,0,-0.928,0
0.00031397,1,0.074,0,-0.926,0
0.00031396,1,0.076,0,-0.924,0
0.00031396,1,0.078,0,-0.922,0
0.00031399,1,0.08,0,-0.92,0
0.00031402,1,0.082,0,-0.918,0
0.00031403,1,0.084,0,-0.916,0
0.00031402,1,0.086,0,-0.914,0
0.00031403,1,0.088,0,-0.912,0
0.00031408,1,0.09,0,-0.91,0
0.00031413,1,0.092,0,-0.908,0
0.00031416,1,0.094,0,-0.906,0
0.00031418,1,0.096,0,-0.904,0
0.00031418,1,0.098,0,-0.902,0
0.00031416,1,0.1,0,-0.9,0
0.00031414,1,0.102,0,-0.898,0
0.00031413,1,0.104,0,-0.896,0
0.00031412,1,0.106,0,-0.894,0
0.0003141,1,0.108,0,-0.892,0
0.00031406,1,0.11,0,-0.89,0
0.00031401,1,0.112,0,-0.888,0
0.00031396,1,0.114,0,-0.886,0
0.0003139,1,0.116,0,-0.884,0
0.00031385,1,0.118,0,-0.882,0
0.00031384,1,0.12,0,-0.88,0
0.00031384,1,0.122,0,-0.878,0
0.00031377,1,0.124,0,-0.876,0
0.00031368,1,0.126,0,-0.874,0
0.00031361,1,0.128,0,-0.872,0
0.00031358,1,0.13,0,-0.87,0
0.00031356,1,0.132,0,-0.868,0
0.00031355,1,0.134,0,-0.866,0
0.00031357,1,0.136,0,-0.864,0
0.00031361,1,0.138,0,-0.862,0
0.00031374,1,0.14,0,-0.86,0
0.00031387,1,0.142,0,-0.858,0
0.00031423,1,0.144,0,-0.856,0
0.00031469,1,0.146,0,-0.854,0
0.00031544,1,0.148,0,-0.852,0
0.00031676,1,0.15,0,-0.85,0
0.00031809,1,0.152,0,-0.848,0
0.00032132,1,0.154,0,-0.846,0
0.00032548,1,0.156,0,-0.844,0
0.00033238,1,0.158,0,-0.842,0
0.00034498,1,0.16,0,-0.84,0
0.00035759,1,0.162,0,-0.838,0
0.00038564,1,0.164,0,-0.836,0
0.00042112,1,0.166,0,-0.834,0
0.00047438,1,0.168,0,-0.832,0
0.00056462,1,0.17,0,-0.83,0
0.00065486,1,0.172,0,-0.828,0
0.00082645,1,0.174,0,-0.826,0
0.0010372,1,0.176,0,-0.824,0
0.0013248,1,0.178,0,-0.822,0
0.0017724,1,0.18,0,-0.82,0
0.00222,1,0.182,0,-0.818,0
0.0029554,1,0.184,0,-0.816,0
0.0038292,1,0.186,0,-0.814,0
0.0049282,1,0.188,0,-0.812,0
0.0064947,1,0.19,0,-0.81,0
0.0080613,1,0.192,0,-0.808,0
0.010362,1,0.194,0,-0.806,0
0.013016,1,0.196,0,-0.804,0
0.016202,1,0.198,0,-0.802,0
0.020494,1,0.2,0,-0.8,0
0.024786,1,0.202,0,-0.798,0
0.030734,1,0.204,0,-0.796,0
0.037481,1,0.206,0,-0.794,0
0.045436,1,0.208,0,-0.792,0
0.055905,1,0.21,0,-0.79,0
0.066373,1,0.212,0,-0.788,0
0.080544,1,0.214,0,-0.786,0
0.096497,1,0.216,0,-0.784,0
0.11516,1,0.218,0,-0.782,0
0.13947,1,0.22,0,-0.78,0
0.16377,1,0.222,0,-0.778,0
0.19637,1,0.224,0,-0.776,0
0.23296,1,0.226,0,-0.774,0
0.27556,1,0.228,0,-0.772,0
0.33064,1,0.23,0,-0.77,0
0.38572,1,0.232,0,-0.768,0
0.45997,1,0.234,0,-0.766,0
0.54343,1,0.236,0,-0.764,0
0.64154,1,0.238,0,-0.762,0
0.77009,1,0.24,0,-0.76,0
0.89865,1,0.242,0,-0.758,0
1.0615,1,0.244,0,-0.756,0
1.2409,1,0.246,0,-0.754,0
1.4275,1,0.248,0,-0.752,0
1.6289,1,0.25,0,-0.75,0
1.8304,1,0.252,0,-0.748,0
2.017,1,0.254,0,-0.746,0
